0,0,0
52367200000032,2,0
52367200000030,2,1
52367200000003,3,2
52367200000005,3,2
52367200000041,3,1
52367200000038,3,2
52367200000015,1,0
52367200000042,2,0
52367200000045,2,3
52367200000098,1,1
52367200000025,1,1
52367200000083,1,0
52367200000140,2,2
52367200000087,1,0
52367200000127,1,0
52367200000128,1,0
52367200000100,1,0
52367200000102,1,0
52367200000130,1,0
52367200000107,1,0
52367200000117,2,0
52367200000070,1,1
52367200000074,3,2
52367200000060,1,0
52367200000051,2,0
52367200000061,2,1
52367200000049,1,0
52367200000044,1,0
52367200000020,1,0
52367200000023,1,1
52367200000019,1,1
52367200001510,1,0
52367200001508,0,1
52367200001475,0,1
52367200001515,1,0
