0,0,0
52414100000007,1,0
52414100000008,1,0
52414100000009,1,0
52414100000010,1,0
52414100000013,1,0
52414100000014,1,0
52414100000027,1,0
52414100000029,1,0
52414100000032,1,0
52414100000033,1,0
52414100000034,1,0
52414100000035,1,0
52414100000031,1,0
52414100000051,1,0
52414100000052,1,0
52414100000053,1,0
52414100000053,1,0
52414100000054,1,0
52414100000054,1,0
52414100000055,1,0
52414100000055,1,0
52414100000056,2,0
52414100000074,2,0
52414100000071,2,0
52414100000075,1,0
52414100000073,2,0
52414100000069,1,0
52414100000069,1,0
52414100000070,2,0
52414100000070,1,0
52414100000106,0,2
52414100000108,0,1
52414100000094,0,2
52414100000066,1,2
52414100000062,1,1
52414100000067,1,1
52414100000064,1,1
52414100000059,0,3
52414100000060,1,2
52414100000058,1,0
52414100000057,1,1
52414100000098,0,1
52414100000068,1,0
52414100000107,0,1
52414100000103,0,1
52414100000061,1,0
52414100000063,1,0
52414100000099,2,0
52414100000102,2,0
52414100000109,1,0
52414100000100,1,0
52414100000065,1,2
52414100000079,1,0
52414100000081,1,0
52414100000084,0,1
52414100000082,1,0
52414100000087,1,0
52414100000080,1,0
52414100000085,0,1
52414100000078,1,0
52414100000083,1,0
52414100000086,1,0
52414100000076,0,2
52414100000089,0,1
52414100000090,1,0
